Title,Price,City,Bargain,Date,District
iPhone 15 128,315000.0,Алматы,False,2024-12-08,Алмалинский район
Iphone 12 pro max 256gb,160000.0,Петропавловск,False,2024-12-09,Unknown
Iphone 11 128gb,30000.0,Алматы,False,2024-12-10,Алмалинский район
Iphone 11 128gb,30000.0,Усть-Каменогорск,False,2024-12-10,Микрорайон 22
Iphone 13 128GB,160000.0,Алматы,False,2024-12-10,Алмалинский район
Iphone 13 128gb,60000.0,Астана,False,2024-12-10,Алматинский район
Iphone 13 256gb,105000.0,Алматы,False,2024-12-10,Алмалинский район
Iphone 11 pro 64,80000.0,Каскелен,False,2024-12-10,Unknown
Iphone 13 Pro Max 256gb,180000.0,Алматы,False,2024-12-10,Жетысуский район
Iphone 11 128gb,30000.0,Костанай,False,2024-12-10,Unknown
Iphone 11 128gb,30000.0,Кокшетау,False,2024-12-10,Первая аптека
Iphone 13 pro 256gb,260000.0,Актобе,True,2024-12-10,микрорайон 11
Iphone 16 128,390000.0,Костанай,False,2024-12-10,Unknown
Iphone 13 pro 256gb,250000.0,Алматы,True,2024-12-10,Жетысуский район
Iphone 14 pro 128,290000.0,Алматы,False,2024-12-10,Ауэзовский район
Iphone 15 pro max 256,425000.0,Алматы,False,2024-12-10,Ауэзовский район
Iphone 14 pro max 512gb,400000.0,Туздыбастау,False,2024-12-09,Unknown
iPhone 13 Pro Max 128gb,240000.0,Алматы,False,2024-12-10,Алмалинский район
Iphone 11 64,65000.0,Уральск,False,2024-12-10,Зачаганск
Iphone 15 pro 256gb,105000.0,Кокшетау,False,2024-12-10,Первая аптека
Iphone 13 pro 256gb,250000.0,Алматы,True,2024-12-10,Жетысуский район
Iphone 12 pro 128gb,0.0,Павлодар,False,2024-12-10,Unknown
Iphone 15 Pro 256,105000.0,Павлодар,False,2024-12-10,Unknown
iphone 14 pro 512gb,750000.0,Зеренда,False,2024-12-09,Unknown
Iphone 12 128,130000.0,Алматы,False,2024-12-10,Бостандыкский район
IPhone 13 Pro Max 256,300000.0,Алматы,True,2024-12-10,Медеуский район
IPhone 11 128gb,100000.0,Павлодар,False,2024-12-10,Unknown
Iphone 12 pro 128,110000.0,Тельмана,False,2024-12-10,Unknown
Iphone 16 pro max 256,384900.0,Алматы,False,2024-12-09,Алмалинский район
Iphone 14 pro 128,350000.0,Шымкент,True,2024-12-10,Енбекшинский район
Iphone 13 pro 256gb,260000.0,Актобе,True,2024-12-10,микрорайон 11
Iphone 13 128gb,60000.0,Павлодар,False,2024-12-10,Unknown
Iphone 11 128,80000.0,Караганда,False,2024-12-10,Казыбекбийский район
Iphone 11 128,100000.0,Шымкент,True,2024-12-10,Туран
Iphone 14 pro 256,340000.0,Астана,True,2024-12-09,Есильский район
Iphone 15 pro max 256gb,450000.0,Алматы,True,2024-12-10,Алмалинский район
Iphone 13 pro max 256,220000.0,Алматы,False,2024-12-10,Алмалинский район
Iphone 11 pro 64gb,100000.0,Астана,False,2024-12-10,Алматинский район
IPhone 13 128,185000.0,Павлодар,False,2024-12-10,Unknown
Iphone 12 Pro 128,120000.0,Уральск,False,2024-12-10,Зачаганск
Iphone 14 pro 256,300000.0,Талас,True,2024-12-05,Unknown
Iphone 14 pro max 256,320000.0,Габидена Мустафина,False,2024-12-10,Unknown
Iphone 13 128,160000.0,Петропавловск,False,2024-12-10,Unknown
Iphone 15 Pro 256gb,370000.0,Актобе,True,2024-12-10,Батыс 2
Iphone 14 pro 128,300000.0,Тельмана,False,2024-12-10,Unknown
iPhone 15 Pro Max 256,429000.0,Усть-Каменогорск,True,2024-12-10,45-я аптека
Iphone 11 pro 256gb,73000.0,Алматы,False,2024-12-10,Алмалинский район
Iphone 14 pro 128,335000.0,Нура,True,2024-12-08,Unknown
iphone 11 64,0.0,Тараз,False,2024-12-10,1-мкр. Акбулак
Iphone 12 pro 128,105000.0,Атырау,False,2024-12-10,Авангард
iphone 11 128,100000.0,Костанай,False,2024-12-09,Unknown
Iphone 15 128,270000.0,Астана,False,2024-12-10,Сарыаркинский район
