Title,Price,City,Bargain,Date,District
Iphone 15 Pro XR Оригинал,114000.0,Алматы,False,2024-12-16,Алмалинский район
iphone 15 pro 256 gb,400000.0,Костанай,True,2024-12-15,
IPhone 13 128gb 84% в отличном состоянии,165000.0,Усть-Каменогорск,False,2024-12-16,45-я аптека
Iphone 11 128gb с гарантией,35000.0,Актобе,False,2024-12-17,микрорайон 11
Iphone 11 128gb с гарантией,35000.0,Караганда,False,2024-12-17,Казыбекбийский район
Iphone 14 Pro 256 gb с гарантией,102000.0,Тараз,False,2024-12-17,1-мкр. Акбулак
Iphone 11 128gb с гарантией,35000.0,Семей,False,2024-12-17,
Iphone 14 pro 256gb с гарантией,102000.0,Петропавловск,False,2024-12-17,
Iphone 11/айфон 11,60000.0,Петропавловск,False,2024-12-16,
iPhone 11,55000.0,Алматы,True,2024-12-17,Алмалинский район
iPhone 12 Pro 128GB,140000.0,Алматы,True,2024-12-17,Бостандыкский район
Iphone 14 128gb с гарантией,65000.0,Кокшетау,False,2024-12-17,Первая аптека
Продаю iPhone 11pro,40000.0,Кокшетау,True,2024-12-17,Первая аптека
iPhone 15pro 256гбт черный,430000.0,Актау,False,2024-12-14,1
Продам iPhone 15 Pro 128 Gb,420000.0,Кокшетау,False,2024-12-15,Первая аптека
iPhone 15 Pro/ Актив Ломбард/0-0-24,410000.0,Актау,False,2024-12-17,1
Iphone 11 128gb с гарантией,35000.0,Алматы,False,2024-12-17,Алмалинский район
Iphone 14 pro max,315000.0,Алматы,False,2024-12-17,Алмалинский район
Iphone 15 256g 91%,250000.0,Уральск,False,2024-12-17,2-й рабочий
Iphone 11/64 гебайт в хорошем состояние,70000.0,Алматы,True,2024-12-17,Алатауский район
iPhone 16 Pro 256 GB,700000.0,Астана,True,2024-12-17,Алматинский район
Iphone 11 pro 512,130000.0,Алматы,True,2024-12-17,Ауэзовский район
Iphone 15 PRO blue 128gb,350000.0,Нуркен,False,2024-12-17,
Iphone 14 pro 256gb с гарантией,102000.0,Уральск,False,2024-12-17,2-й рабочий
айфон 11 хорошем состоянии  / Iphone 11 128 гб,90000.0,Алматы,True,2024-12-17,Алмалинский район
iPhone 11 pro 256gb,110000.0,Алматы,True,2024-12-17,Алатауский район
"Айфон 13 256гб, iphone 13 256gb blue в отличном состоянии",185000.0,Семей,True,2024-12-17,
iPhone 15 Pro Max.Samsung S24 Ultra.,45000.0,Алматы,False,2024-12-15,Медеуский район
iPhone 13 pro 128gb akb90% Айфон 13,230000.0,Астана,False,2024-12-16,Байконурский
Продам iphone11,70000.0,Павлодар,False,2024-12-16,
Iphone 14 128gb с гарантией,65000.0,Туркестан,False,2024-12-17,
"IPhone 11, 64 ГБ, за 60 тыс",60000.0,Павлодар,False,2024-12-17,
Продам Iphone 13,160000.0,Алматы,False,2024-12-15,Медеуский район
Iphone 11 128gb с гарантией,35000.0,Атырау,False,2024-12-17,Авангард
